z,CD,CD_unc,CDW,CDW_unc,Lc,Lc_unc,LcW,LcW_unc
8.4,1.63,0.85,1.76,0.77,NaN,NaN,NaN,NaN
8,1.27,0.59,1.56,0.49,NaN,NaN,NaN,NaN
7.5,0.8,0.29,0.98,0.3,NaN,NaN,NaN,NaN
7,0.89,0.51,1.1,0.64,NaN,NaN,NaN,NaN
6.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.9,1.81,1,1.81,0.97,NaN,NaN,0.141,0.0828
5.4,NaN,NaN,NaN,NaN,0.067,0.0347,0.068,0.036
5,3.51,0.79,3.45,0.84,0.035,0.0074,0.036,0.0078
4.5,6.21,3.1,5.66,2.68,0.02,0.0081,0.021,0.0085
3.9,8.8,5.3,7.68,4.08,0.013,0.0052,0.014,0.0053
3.4,11.19,2.13,9.51,0.84,0.008,0.0015,0.01,0.0008
3,12.61,5.27,9.14,2.13,0.009,0.0037,0.011,0.0024
2.4,8.79,3.91,6.27,1.3,0.014,0.0076,0.017,0.0042
2,8.1,1.6,6.86,1.97,0.015,0.0033,0.018,0.0055
1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
