z,u,u_unc,v,v_unc,w,w_unc,uRMS,uRMS_unc,vRMS,vRMS_unc,wRMS,wRMS_unc,up,up_unc,vp,vp_unc,wp,wp_unc,upwp,upwp_unc,upvp,upvp_unc,vpwp,vpwp_unc,uppwpp,uppwpp_unc,uppvpp,uppvpp_unc,vppwpp,vppwpp_unc,k,k_unc,kD,kD_unc
32.6,29.18,0.23,-0.464,0.08,-1.966,0.14,3.76,0.94,10.36,0.56,2.07,0.76,2.98,0.03,3.85,0.14,2,0.06,-0.172,0.16,0.437,0.18,0.085,0.12,-0.047,0.02,0.292,0.15,-0.065,0.04,1.39,0.06,0.06,0.006
27.6,29.39,0.27,0.009,0.06,-2.181,0.1,3.44,0.48,2.37,1.29,2.6,0.96,2.94,0.12,3.25,0.07,2.34,0.07,-0.645,0.54,-0.064,0.12,0.182,0.06,-0.067,0.06,0.057,0.01,-0.023,0.02,1.24,0.07,0.01,0.007
22.6,29.13,0.25,0.248,0.04,-2.127,0.05,4.43,0.16,4.33,0.41,2.95,0.26,3.35,0.16,3.17,0.09,2.53,0.05,-1.538,0.36,-0.295,0.28,0.181,0.14,-0.111,0.01,-0.141,0.01,0.069,0.02,1.39,0.09,0.02,0.001
18.6,28.54,0.48,0.539,0.24,-1.855,0.14,5.76,0.65,7.58,0.89,2.56,0.28,3.93,0.4,3.46,0.08,2.68,0.15,-2.722,1.04,-0.603,0.17,0.38,0.15,-0.124,0.03,-0.172,0.13,0.137,0.06,1.74,0.22,0.05,0.004
17.6,28.12,0.4,0.365,0.15,-1.745,0.07,6.85,2.17,7.95,0.58,2.66,0.79,4.23,0.28,3.58,0.12,2.74,0.08,-3.51,0.49,-0.493,0.44,0.097,0.25,-0.189,0.12,0.053,0.37,-0.013,0.11,1.92,0.18,0.06,0.012
16.6,27.58,0.39,0.352,0.13,-1.723,0.1,4.72,1.82,8.02,1.27,2,0.79,4.49,0.16,3.68,0.11,2.79,0.13,-4.148,0.37,-0.808,0.31,0.235,0.11,-0.082,0.06,-0.024,0.19,0.044,0.11,2.08,0.15,0.05,0.017
15.7,27.23,0.52,0.351,0.25,-1.642,0.16,6.7,2.62,9.05,0.89,1.28,0.22,4.62,0.29,3.93,0.21,2.88,0.12,-4.39,1,-0.632,0.54,0.095,0.29,-0.069,0.05,0.25,0.11,-0.04,0.07,2.26,0.24,0.07,0.01
14.7,26.26,0.28,0.321,0.15,-1.563,0.06,7.34,4.17,8.37,0.73,2.19,0.67,5.06,0.11,4.11,0.03,3.02,0.08,-5.683,0.07,-0.755,0.79,-0.131,0.21,-0.17,0.15,0.307,0.17,-0.104,0.06,2.59,0.07,0.07,0.034
13.6,24.96,0.39,0.315,0.09,-1.327,0.06,7.36,3.93,9.11,1.56,2.12,0.7,5.53,0.19,4.45,0.04,3.11,0.1,-6.726,1.21,-1.725,0.2,0.058,0.08,-0.156,0.15,0.064,0.42,0.014,0.11,3.01,0.15,0.08,0.031
12.7,23.77,0.51,0.18,0.24,-1.295,0.05,7.61,0.23,8.59,1.44,1.75,0.32,5.96,0.18,4.57,0.11,3.16,0.05,-7.824,0.87,-1.251,0.5,0.127,0.13,-0.096,0.03,-0.064,0.55,0.003,0.16,3.32,0.16,0.07,0.011
