z,Rey,Rey_unc,Disp,Disp_unc,Drag,Drag_unc,SK,SK_unc,dpdx
32.6,-0.54,1.07,-0.04,0.08,NaN,NaN,7.2,7.2,7.78
27.6,-1.38,0.25,-0.07,0.02,NaN,NaN,6.33,6.33,7.78
22.6,-2.31,0.57,-0.06,0.04,NaN,NaN,5.41,5.41,7.78
18.6,-3.95,0.35,-0.02,0.03,NaN,NaN,NaN,NaN,7.78
17.6,-6.39,2.17,0.13,0.1,NaN,NaN,NaN,NaN,7.78
16.6,-5.22,1.26,0.15,0.18,NaN,NaN,NaN,NaN,7.78
15.7,-8.42,1.49,-0.14,0.38,NaN,NaN,NaN,NaN,7.78
14.7,-10.92,1.49,-0.17,0.33,NaN,NaN,NaN,NaN,7.78
13.6,-10.89,2.97,-0.06,0.2,NaN,NaN,NaN,NaN,7.78
12.7,-10.13,3.05,-0.04,0.14,NaN,NaN,NaN,NaN,7.78
11.7,-7.45,0.93,-0.13,0.23,NaN,NaN,NaN,NaN,7.78
10.7,-7.36,0.88,-0.52,0.6,NaN,NaN,NaN,NaN,7.77
9.6,-7.56,1.4,-0.45,1.01,NaN,NaN,NaN,NaN,7.75
8.9,-3.33,2.55,0,0.86,NaN,NaN,NaN,NaN,7.7
8.4,4.92,5.34,-0.84,0.74,-11.72,6.01,NaN,NaN,7.64
8,10,5.24,-3.22,1.24,-14.33,6.31,NaN,NaN,7.55
7.5,7.9,2.21,-2.87,0.67,-12.44,2.36,NaN,NaN,7.42
7,13.72,6.64,-3.88,4.79,-17.07,5.93,NaN,NaN,7.23
6.4,18.98,7.19,-3.37,3.79,-22.53,5.6,NaN,NaN,6.92
5.9,27.42,7.81,-0.25,1.83,-33.78,8.32,NaN,NaN,6.61
5.4,34,8.93,0.19,2.05,-40.44,10.2,NaN,NaN,6.25
5,33.03,6.95,0.84,1.26,-39.83,7.95,NaN,NaN,5.95
4.5,26.31,2.8,2.6,1.2,-34.51,2.22,NaN,NaN,5.6
3.9,17.62,3.4,2.44,1.02,-25.36,3.15,NaN,NaN,5.31
3.4,12.8,4.13,2.7,2.01,-20.69,4.24,NaN,NaN,5.18
3,6.13,0.88,3.51,2.74,-14.83,2.24,NaN,NaN,5.19
2.4,1.6,0.37,2.25,2.42,-9.19,2.16,NaN,NaN,5.34
2,0.7,1.19,1.28,1.49,-7.53,1.94,NaN,NaN,5.55
1.4,0.04,5.47,2.29,2.89,-8.3,5.43,NaN,NaN,5.97
