z,lmix,lmix_unc,vt,vt_unc
32.6,NaN,NaN,NaN,NaN
27.6,NaN,NaN,NaN,NaN
22.6,NaN,NaN,NaN,NaN
18.6,NaN,NaN,14.12,3.13
17.6,3.97,0.7,7.5,1.7
16.6,4.99,1.86,10.21,3.97
15.7,3.16,0.46,6.58,0.92
14.7,2.13,0.1,5.09,0.25
13.6,2.09,0.2,5.42,0.61
12.7,2.04,0.24,5.71,0.76
11.7,1.98,0.12,5.86,0.6
10.7,1.42,0.18,4.29,0.39
9.6,1.25,0.05,4.01,0.06
8.9,1.46,0.06,4.8,0.11
8.4,1.17,0.06,3.89,0.2
8,0.97,0.07,3.14,0.31
7.5,1.1,0.24,3.47,0.64
7,1.04,0.1,3.32,0.26
6.4,0.94,0.17,2.89,0.59
5.9,0.98,0.23,2.91,0.83
5.4,0.89,0.09,2.36,0.4
5,0.97,0.31,2.23,0.5
4.5,1.03,0.22,1.94,0.43
3.9,1.05,0.08,1.43,0.32
3.4,NaN,NaN,NaN,NaN
3,NaN,NaN,NaN,NaN
2.4,NaN,NaN,NaN,NaN
2,NaN,NaN,NaN,NaN
1.4,NaN,NaN,NaN,NaN
