z,ncD,ncD_unc,ncS,ncS_unc,aD,aD_unc,aS,aS_unc
0.005,0.832,0.0112,0.923,0.005,8.04,0.14,3.66,0.25
0.008,0.812,0.0084,0.911,0.0054,8.95,0.26,4.3,0.22
0.011,0.785,0.0109,0.897,0.0042,10.18,0.43,4.68,0.2
0.014,0.758,0.0118,0.886,0.0035,10.88,0.28,5.17,0.1
0.017,0.734,0.0121,0.876,0.0033,11.91,0.27,5.56,0.05
0.02,0.712,0.0117,0.868,0.003,12.64,0.31,5.75,0.06
0.023,0.694,0.0108,0.86,0.0028,13.13,0.16,6.04,0.08
0.026,0.679,0.0097,0.855,0.0028,13.69,0.22,6.26,0.09
0.029,0.669,0.008,0.851,0.0031,14.21,0.22,6.39,0.14
0.032,0.664,0.0067,0.849,0.0033,14.42,0.32,6.51,0.18
0.035,0.663,0.0054,0.849,0.0032,14.66,0.29,6.6,0.21
0.038,0.668,0.0036,0.851,0.0031,14.77,0.35,6.63,0.26
0.041,0.677,0.002,0.856,0.0032,14.75,0.37,6.61,0.32
0.044,0.691,0.0019,0.863,0.0034,14.51,0.51,6.48,0.4
0.047,0.711,0.0032,0.872,0.0034,14.04,0.62,6.34,0.49
0.05,0.734,0.0042,0.883,0.0034,13.64,0.72,6.02,0.57
0.053,0.761,0.0046,0.894,0.0034,12.69,0.86,5.58,0.67
0.056,0.789,0.0053,0.908,0.0038,11.48,0.98,5.21,0.76
0.059,0.819,0.0054,0.921,0.0041,10.52,1.08,4.55,0.89
0.062,0.85,0.0049,0.935,0.0044,8.9,1.06,3.8,0.94
0.065,0.88,0.0048,0.948,0.0045,7.17,1.09,3.32,0.98
0.068,0.909,0.0046,0.961,0.0038,6,1.06,2.57,0.97
0.071,0.934,0.0042,0.971,0.0032,4.2,0.91,1.82,0.86
0.074,0.955,0.0033,0.98,0.0026,2.69,0.7,1.4,0.76
0.077,0.972,0.002,0.987,0.0017,1.88,0.55,0.91,0.59
0.08,0.984,0.0009,0.992,0.0011,1,0.37,0.53,0.41
0.083,0.991,0.0005,0.995,0.0007,0.46,0.22,0.3,0.25
0.086,0.995,0.0006,0.997,0.0005,0.29,0.17,0.19,0.17
0.089,0.998,0.0006,0.998,0.0004,0.15,0.12,0.1,0.1
0.092,0.999,0.0003,0.999,0.0002,0.05,0.05,0.06,0.06
0.095,1,0.0001,1,0.0001,0.03,0.02,0.03,0.03
