z,upwp_D,upwp_S,u_D,u_S
2.88,0.286,0.135,1.45,3.45
2.9,0.318,0.133,1.46,3.45
2.93,0.351,0.131,1.48,3.45
2.95,0.385,0.129,1.49,3.45
2.98,0.419,0.127,1.51,3.46
3,0.454,0.125,1.53,3.46
3.03,0.49,0.123,1.54,3.46
3.05,0.527,0.121,1.56,3.47
3.08,0.564,0.12,1.58,3.47
3.1,0.601,0.117,1.6,3.47
3.13,0.64,0.117,1.62,3.48
3.15,0.68,0.112,1.64,3.48
3.18,0.721,0.118,1.67,3.48
3.2,0.763,0.147,1.69,3.49
3.23,0.805,0.177,1.71,3.49
3.25,0.849,0.206,1.74,3.49
3.28,0.893,0.236,1.76,3.5
3.3,0.938,0.267,1.79,3.5
3.33,0.984,0.297,1.81,3.51
3.35,1.031,0.328,1.84,3.51
3.38,1.079,0.36,1.86,3.52
3.4,1.128,0.391,1.89,3.52
3.43,1.178,0.423,1.92,3.53
3.45,1.228,0.455,1.95,3.54
3.48,1.28,0.488,1.98,3.54
3.5,1.332,0.521,2.01,3.55
3.53,1.385,0.554,2.04,3.56
3.55,1.439,0.587,2.07,3.57
3.58,1.494,0.621,2.1,3.57
3.6,1.55,0.655,2.13,3.58
3.63,1.606,0.689,2.16,3.59
3.65,1.664,0.724,2.2,3.6
3.68,1.722,0.759,2.23,3.61
3.7,1.782,0.794,2.27,3.62
3.73,1.842,0.83,2.3,3.63
3.75,1.902,0.866,2.34,3.64
3.78,1.964,0.902,2.37,3.65
3.8,2.027,0.939,2.41,3.66
3.83,2.09,0.976,2.44,3.67
3.85,2.154,1.014,2.48,3.68
3.88,2.219,1.051,2.52,3.69
3.9,2.284,1.09,2.56,3.7
3.93,2.35,1.128,2.6,3.72
3.95,2.417,1.167,2.64,3.73
3.98,2.485,1.206,2.68,3.74
4,2.553,1.246,2.72,3.75
4.03,2.622,1.286,2.76,3.77
4.05,2.691,1.326,2.8,3.78
4.08,2.762,1.367,2.85,3.8
4.1,2.832,1.408,2.89,3.81
4.13,2.904,1.45,2.93,3.82
4.15,2.976,1.492,2.98,3.84
4.18,3.048,1.534,3.02,3.85
4.2,3.121,1.577,3.06,3.87
4.23,3.195,1.62,3.11,3.89
4.25,3.269,1.663,3.16,3.9
4.28,3.343,1.707,3.2,3.92
4.3,3.418,1.752,3.25,3.94
4.33,3.494,1.797,3.3,3.95
4.35,3.57,1.842,3.35,3.97
4.38,3.646,1.887,3.39,3.99
4.4,3.722,1.934,3.44,4.01
4.43,3.799,1.98,3.49,4.03
4.45,3.877,2.027,3.54,4.05
4.48,3.954,2.074,3.59,4.06
4.5,4.032,2.122,3.64,4.08
4.53,4.11,2.17,3.69,4.1
4.55,4.188,2.218,3.75,4.13
4.58,4.267,2.267,3.8,4.15
4.6,4.345,2.317,3.85,4.17
4.63,4.424,2.367,3.9,4.19
4.65,4.503,2.417,3.96,4.21
4.68,4.582,2.468,4.01,4.23
