z,CD,CD_unc,CDW,CDW_unc,Lc,Lc_unc,LcW,LcW_unc
8.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.1,4.36,2.13,3.6,1.79,0.141,0.0525,0.17,0.0614
5.7,5.98,3.41,3.46,1.11,0.084,0.0365,0.126,0.0375
5.1,NaN,NaN,4.05,1.58,0.051,0.0308,0.093,0.0493
4.7,7.79,4.46,3.79,1.75,0.051,0.0308,0.095,0.0492
4.2,7.22,2.79,4.69,1.37,0.042,0.0144,0.062,0.0223
3.6,8.44,3.24,5.18,1.68,0.035,0.0132,0.056,0.0183
3.1,5.23,0.55,3.46,0.75,0.051,0.0052,0.081,0.0187
2.7,3.97,1,3.08,0.38,0.077,0.0254,0.093,0.0132
2.1,3.86,1.93,2.71,1.07,NaN,NaN,0.13,0.051
1.7,2.72,0.62,1.8,0.8,0.13,0.0361,0.226,0.1096
1.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
