z,u,u_unc,v,v_unc,w,w_unc,uRMS,uRMS_unc,vRMS,vRMS_unc,wRMS,wRMS_unc,up,up_unc,vp,vp_unc,wp,wp_unc,upwp,upwp_unc,upvp,upvp_unc,vpwp,vpwp_unc,uppwpp,uppwpp_unc,uppvpp,uppvpp_unc,vppwpp,vppwpp_unc,k,k_unc,kD,kD_unc
32.4,29.31,0.19,0.073,0.12,-1.69,0.06,3.43,2.28,5.87,0.13,1.04,0.11,2.67,0.03,3.3,0.05,1.79,0.05,-0.354,0.05,-0.077,0.19,-0.12,0.08,-0.032,0.03,0.087,0.14,-0.037,0.02,1.06,0.03,0.03,0.009
27.3,29.38,0.32,0.215,0.23,-1.733,0.06,5.99,1.83,1.42,0.59,2.25,0.32,2.89,0.13,3.05,0.08,2.2,0.09,-0.728,0.29,0.071,0.25,-0.039,0.23,-0.128,0.07,0.08,0.05,-0.025,0.02,1.13,0.08,0.02,0.012
22.4,29.01,0.3,0.248,0.1,-1.653,0.04,8.8,2.02,3.72,0.78,2.19,0.85,3.32,0.1,3.09,0.08,2.46,0.01,-1.498,0.3,0.059,0.22,0.041,0.25,-0.177,0.09,-0.284,0.09,0.057,0.05,1.34,0.06,0.05,0.02
18.3,27.32,0.13,0.23,0.14,-1.314,0.06,8.85,2.58,6.72,0.4,2.15,0.36,4.37,0.15,3.57,0.03,2.81,0.09,-4.021,0.68,0.149,0.39,0.253,0.23,-0.162,0.07,-0.387,0.3,0.076,0.09,2,0.08,0.07,0.019
17.4,27.03,0.54,0.263,0.22,-1.242,0.18,11.03,1.13,7.57,1.83,2.67,0.67,4.53,0.11,3.65,0.12,2.84,0.07,-4.462,0.62,0.372,0.13,-0.024,0.15,-0.224,0.07,-0.667,0.24,0.167,0.12,2.11,0.11,0.09,0.026
16.4,26.3,0.69,0.165,0.09,-1.265,0.09,10.36,2.02,7.12,0.82,1.93,0.42,4.93,0.21,3.83,0.15,2.94,0.12,-5.245,0.63,-0.223,0.42,0.124,0.15,-0.152,0.13,-0.576,0.21,0.054,0.11,2.39,0.17,0.08,0.023
15.4,25.42,0.49,0.14,0.13,-1.068,0.02,9.34,1.51,7.75,2.56,2.39,0.83,5.24,0.17,4.05,0.14,3.03,0.07,-6.021,0.53,0.27,0.11,-0.131,0.27,-0.099,0.08,-0.566,0.36,0.075,0.11,2.66,0.16,0.08,0.018
14.3,24.91,0.54,0.152,0.14,-1.108,0.14,6.93,1.98,6.21,2.39,1.98,0.65,5.51,0.1,4.21,0.16,3.12,0.09,-6.939,0.33,0.347,0.52,0.016,0.51,-0.04,0.01,-0.322,0.19,0.006,0.04,2.9,0.08,0.05,0.005
13.3,23.17,0.8,0.109,0.14,-0.913,0.16,9.26,2.49,7.64,2.26,3.4,1.39,5.82,0.23,4.53,0.12,3.23,0.07,-7.863,0.57,-0.75,0.57,0.031,0.33,-0.207,0.2,-0.569,0.32,0.052,0.15,3.25,0.15,0.08,0.032
12.4,22.25,0.56,0.233,0.15,-0.862,0.16,7.94,2.3,7.54,3.17,3.54,1.86,5.99,0.17,4.72,0.11,3.31,0.04,-8.347,0.22,-1.052,1.19,0.16,0.77,-0.11,0.17,-0.394,0.59,-0.051,0.08,3.46,0.14,0.07,0.041
11.4,20.44,0.5,0.122,0.12,-0.739,0.08,10.26,6.06,7.84,1.75,4.78,2.72,6.25,0.23,4.84,0.06,3.31,0.03,-8.593,0.16,-1.507,1.05,0.363,0.6,-0.412,0.58,-0.492,0.56,0.025,0.14,3.68,0.17,0.11,0.082
10.4,18.88,0.98,0.076,0.05,-0.706,0.15,16.32,3.94,7.02,2.8,6.25,3.39,6.64,0.32,5.21,0.19,3.5,0.1,-10.628,0.73,-3.626,2.18,0.598,0.36,-0.832,0.88,-0.688,0.95,0.075,0.13,4.2,0.34,0.19,0.094
9.2,15.97,1.47,0.146,0.11,-0.564,0.32,19.72,4.41,9.02,1.09,7.74,3.2,6.81,0.24,5.55,0.26,3.55,0.13,-10.631,0.66,-4.581,1.26,0.671,0.24,-1.195,0.48,0.169,1.71,-0.092,0.21,4.52,0.31,0.28,0.059
8.6,14.11,1.51,0.102,0.09,-0.387,0.28,25.28,6.79,10,0.66,10.11,1.96,7.06,0.32,5.97,0.28,3.6,0.1,-10.463,0.36,-6.417,2.91,0.733,0.79,-2.314,0.49,0.948,2.23,-0.439,0.39,4.97,0.3,0.44,0.167
8.1,12.45,1.96,-0.013,0.37,-0.404,0.34,28.57,10.08,9.87,1.66,11.6,2.15,7.02,0.46,6.16,0.4,3.67,0.18,-10.276,0.71,-8.543,4.87,0.68,1.06,-3.046,1.09,1.58,1.99,-0.673,0.49,5.09,0.55,0.56,0.265
7.6,10.66,2.5,0.009,0.64,-0.222,0.5,34.01,12.67,10.64,1.69,14.02,2.25,6.77,0.63,6.22,0.41,3.7,0.24,-9.139,0.93,-8.175,5.72,0.459,1.65,-4.419,1.51,2.014,2.05,-0.8,0.72,4.96,0.69,0.79,0.359
7.2,9.4,2.96,-0.232,0.76,-0.277,0.68,39.06,16.09,11.55,3.12,17.1,1.12,6.55,0.45,6.19,0.33,3.66,0.1,-7.877,2.79,-8.302,4.03,0.939,2.33,-6.405,2.56,2.57,2.45,-1.159,0.89,4.78,0.19,1.07,0.539
6.7,7.73,2.73,-0.111,0.6,-0.107,0.9,35.65,17.16,13.21,5.14,17.34,1.36,6.25,0.36,6.16,0.15,3.56,0.11,-6.778,2.92,-7.261,3.28,0.323,1.96,-5.926,3.01,1.934,2.12,-1.09,0.78,4.56,0.2,0.98,0.499
6.1,6.58,2.38,-0.308,0.36,0.151,1.07,33.41,13.67,16.49,4.72,19.05,3.78,5.99,0.52,6.02,0.16,3.54,0.19,-6.222,3.45,-6.793,2.26,0.082,2.18,-5.991,3.8,0.986,2,-0.76,1.52,4.31,0.31,0.95,0.398
5.7,6.08,2.16,-0.466,0.18,0.145,1.18,33.19,7.23,18.79,2.41,20.41,3.67,5.77,0.43,5.89,0.05,3.43,0.24,-5.294,2.63,-7.22,1.16,0.088,1.33,-5.953,3.26,-0.267,2.54,-0.232,2.04,4.06,0.31,0.96,0.248
5.1,5.23,1.49,-0.416,0.32,0.221,1.18,29.98,6.09,20.3,3.78,18.69,4.34,5.51,0.48,5.85,0.08,3.3,0.18,-3.999,1.98,-6.969,0.84,-0.01,1.47,-4.705,2.49,-1.139,2.27,0.114,2.74,3.84,0.36,0.85,0.138
4.7,4.59,0.98,-0.584,0.83,0.442,1.13,27.54,10.13,24.28,2.75,16.01,4.01,5.25,0.3,5.62,0.25,3.16,0.18,-2.966,1.48,-5.124,0.62,-0.024,0.89,-3.082,2.07,-1.737,1.83,0.121,3.26,3.51,0.3,0.84,0.212
4.2,3.9,0.8,-0.535,0.84,0.58,0.89,27.03,12.24,23.28,4.34,15.31,4.92,4.99,0.17,5.35,0.13,2.97,0.14,-2.275,1,-4.182,0.54,0.166,0.97,-2.61,1.74,-1.895,1.78,-0.109,2.93,3.17,0.18,0.82,0.299
3.6,3.56,0.78,-0.407,0.69,0.678,0.91,25.44,11.35,23.09,5.2,13.75,5.54,4.7,0.23,5.09,0.15,2.76,0.18,-0.938,0.78,-2.968,1.37,0.003,0.62,-1.883,0.7,-2.422,2.3,-0.096,2.51,2.82,0.22,0.75,0.287
3.1,3.55,0.48,-0.361,0.99,0.748,0.79,24.45,10.77,24.1,7.13,10.65,6.4,4.65,0.25,4.91,0.15,2.63,0.15,-0.554,0.89,-2.042,1.98,-0.137,0.77,-1.184,0.51,-3.056,1.3,0.054,1.77,2.67,0.21,0.72,0.329
2.7,3.58,0.61,-0.32,0.9,0.733,0.72,23.19,7.51,23.78,9.68,9.67,4.42,4.46,0.29,4.71,0.2,2.44,0.22,-0.166,0.18,-1.893,1.81,-0.255,0.3,-1.023,0.44,-3.585,1.65,-0.038,1.31,2.43,0.26,0.65,0.34
2.1,3.53,0.68,-0.545,0.95,0.781,0.58,20.99,8.02,22.68,10.26,7.69,4.57,4.33,0.27,4.39,0.1,2.25,0.22,0.283,0.28,-1.675,1.88,-0.197,0.2,-0.785,0.63,-3.103,1.57,0.168,0.65,2.18,0.2,0.57,0.348
1.7,3.75,0.88,-0.451,0.71,0.693,0.42,21.35,5.43,22.18,10.28,6.89,3.68,4.21,0.23,4.27,0.08,2.13,0.13,0.153,0.18,-1.411,1.03,-0.101,0.22,-0.606,0.62,-3.342,1.87,0.119,0.53,2.05,0.14,0.55,0.301
1.1,3.82,1.05,-0.707,0.65,0.558,0.25,18.96,6.74,22.04,10.14,4.21,2.84,4.14,0.27,4.12,0.18,1.94,0.14,0.106,0.16,-0.657,0.3,-0.04,0.28,-0.303,0.32,-3.215,2.15,0.072,0.36,1.91,0.18,0.48,0.329
