z,Rey,Rey_unc,Disp,Disp_unc,Drag,Drag_unc,SK,SK_unc,dpdx
32.4,-0.38,1.03,-0.26,0.14,NaN,NaN,6.7,6.7,7.34
27.3,-1.16,0.22,-0.12,0.05,NaN,NaN,6.06,6.06,7.34
22.4,-3.65,0.6,-0.08,0.05,NaN,NaN,3.61,3.61,7.34
18.3,-5.86,0.51,-0.09,0.06,NaN,NaN,NaN,NaN,7.34
17.4,-6.37,0.61,0.25,0.34,NaN,NaN,NaN,NaN,7.34
16.4,-7.97,0.66,0.52,0.33,NaN,NaN,NaN,NaN,7.34
15.4,-7.99,1.82,0.26,0.24,NaN,NaN,NaN,NaN,7.34
14.3,-8.61,0.18,-0.12,0.29,NaN,NaN,NaN,NaN,7.34
13.3,-7.47,0.69,-0.51,0.56,NaN,NaN,NaN,NaN,7.34
12.4,-3.9,1.71,-1.58,1.62,NaN,NaN,NaN,NaN,7.34
11.4,-11.13,2.64,-3.09,2.2,NaN,NaN,NaN,NaN,7.34
10.4,-9.01,2.19,-3.56,0.46,NaN,NaN,NaN,NaN,7.33
9.2,1.41,2.87,-8.43,4.03,NaN,NaN,NaN,NaN,7.3
8.6,6,7.32,-16.99,8.64,3.72,4.33,NaN,NaN,7.27
8.1,13.62,7.88,-20.7,9.11,-0.14,5.67,NaN,NaN,7.23
7.6,26.21,17.55,-30.12,18.01,-3.26,10.16,NaN,NaN,7.17
7.2,25.32,16.29,-13.66,15.92,-18.76,4.96,NaN,NaN,7.09
6.7,16.66,5.31,2.6,4.19,-26.24,3.11,NaN,NaN,6.98
6.1,17.1,3.84,5.32,2.93,-29.27,5.11,NaN,NaN,6.85
5.7,21.72,9.83,13.61,6.13,-42.05,4.88,NaN,NaN,6.72
5.1,23.32,10.3,25.81,13.64,-55.69,12.42,NaN,NaN,6.57
4.7,17.2,9.2,20.17,11.19,-43.82,13.06,NaN,NaN,6.45
4.2,16.25,5.17,10.57,9.86,-33.15,4.98,NaN,NaN,6.34
3.6,14.19,4.17,12.12,10.59,-32.57,6.77,NaN,NaN,6.26
3.1,7.95,4.13,7.08,4.41,-21.27,4.32,NaN,NaN,6.24
2.7,5.98,3.43,3.36,2.64,-15.61,4.94,NaN,NaN,6.27
2.1,2.62,1.77,3.65,2.6,-12.62,3.94,NaN,NaN,6.35
1.7,-0.48,0.88,3.86,2.19,-9.82,2.42,NaN,NaN,6.44
1.1,-3.21,2.83,6.91,5.94,-10.32,7.12,NaN,NaN,6.61
