z,lmix,lmix_unc,vt,vt_unc
32.4,NaN,NaN,NaN,NaN
27.3,NaN,NaN,NaN,NaN
22.4,5.42,0.64,6.59,0.73
18.3,5.14,0.51,10.3,1.39
17.4,NaN,NaN,NaN,NaN
16.4,2.83,0.3,6.44,0.4
15.4,4.21,1.7,10.43,4.51
14.3,2.53,0.32,6.67,0.94
13.3,2.01,0.19,5.65,0.67
12.4,2.02,0.18,5.83,0.47
11.4,1.79,0.26,5.23,0.76
10.4,1.66,0.25,5.39,0.71
9.2,1.21,0.17,3.94,0.54
8.6,1.02,0.24,3.32,0.82
8.1,0.98,0.3,3.15,0.93
7.6,1.03,0.39,3.11,1.2
7.2,0.97,0.2,2.74,0.84
6.7,0.95,0.07,2.44,0.45
6.1,1.51,0.21,3.61,0.57
5.7,NaN,NaN,NaN,NaN
5.1,NaN,NaN,NaN,NaN
4.7,NaN,NaN,NaN,NaN
4.2,1.67,0.49,2.47,0.72
3.6,NaN,NaN,NaN,NaN
3.1,NaN,NaN,NaN,NaN
2.7,NaN,NaN,NaN,NaN
2.1,NaN,NaN,NaN,NaN
1.7,NaN,NaN,NaN,NaN
1.1,NaN,NaN,NaN,NaN
